Clade.1,Clade.2,Clade.3,Sec_Ref,Primary_Ref,Method,Taxon,EBM.ref.sp,Aves,BM.g,Pneumatic,BM.Qual,Meas.sp,HumerusLen,HumerusCirc,FemurCirc,FemurLen,TibulaLen,TibiaCirc,TarsusLen,TarusCirc,Sex,Comments,Living,humerus_diameter_(mm),tarsus_diameter_(mm),coracoid_HAF_(mm),coracoid_HAF_(mm),coracoid_max_length
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(1988),Physical,Deinonychus_antirrhopus,MCZ_4371,N,73000,,,MCZ_4371,,,116,284,,,,,,"AMNH_3015_(FL=284mm)_smaller_than_MCZ_4371_(FL=335mm),_though_comparable_in_other_measurements",0,,,,,
Theropoda,Megalosauroidea,,Campione_&_Evans_2020,Paul_(1997),Physical,Suchomimus_tenerensis,MNN_GDF_500,N,2500000,,,MNN_GDF_500,,,408,,,,,,,,0,,,,,
Theropoda,Megalosauroidea,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Suchomimus_tenerensis,MNN_GDF_500,N,3816100,,,MNN_GDF_500,,,408,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Paul_(1997),Physical,Tyrannosaurus_rex,MOR_555,N,5355000,,,MOR_555,,,520,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Hutchinson_et_al._(2007),Scan,Tyrannosaurus_rex,MOR_555,N,5450000,,origil,MOR_555,,,520,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Hutchinson_et_al._(2007),Scan,Tyrannosaurus_rex,MOR_555,N,6583000,,best_guess,MOR_555,,,520,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Henderson_(1999),Slicing,Tyrannosaurus_rex,MOR_555,N,7224000,,,MOR_555,,,520,,,,,,,,0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Bates_et_al._(2009a),Scan,Allosaurus_fragilis,MOR_693,N,1500910,,Best_Estimate,MOR_693,,,274.5,,,,,,,,0,,,,,
Theropoda,Carcharodontosauridae,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Giganotosaurus_carolinii,MUCPvCH1,N,6594800,,,MUCPvCH1,,,515,,,,,,,,0,,,,,
Theropoda,Carcharodontosauridae,,Campione_&_Evans_2020,Paul_(2010),Physical,Giganotosaurus_carolinii,MUCPvCH1,N,6850000,,,MUCPvCH1,,,515,,,,,,,,0,,,,,
Theropoda,Carcharodontosauridae,,Campione_&_Evans_2020,Snively_et_al._(2019),Slicing,Giganotosaurus_carolinii,MUCPvCH1,N,6907600,,,MUCPvCH1,,,515,,,,,,,,0,,,,,
Theropoda,Carcharodontosauridae,,Campione_&_Evans_2020,Paul_(2010),Physical,Acrocanthosaurus_atokensis,NCSM_14345,N,4400000,,,NCSM_14345,,,426,,,,,,,,0,,,,,
Theropoda,Carcharodontosauridae,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Acrocanthosaurus_atokensis,NCSM_14345,N,5672000,,,NCSM_14345,,,426,,,,,,,,0,,,,,
Theropoda,Carcharodontosauridae,,Campione_&_Evans_2020,Bates_et_al._(2009b),Scan,Acrocanthosaurus_atokensis,NCSM_14345,N,6177040,,Preferred,NCSM_14345,,,426,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(1988),Physical,Avimimus_portentosus,PIN_39071,N,14000,,,PIN_39071/39073,,,52.8,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Avimimus_portentosus,PIN_39071/39073,N,21400,,,PIN_39071/39073,,,52.8,,,,,,,,0,,,,,
Theropoda,Theropoda,,Campione_&_Evans_2020,Paul_(1997),Physical,Herrerasaurus_ischigualastensis,PVL_2566,N,124000,,,PVL_2566,,,165.5,,,,,,,,0,,,,,
Theropoda,Theropoda,,Campione_&_Evans_2020,Paul_(1988),Physical,Herrerasaurus_ischigualastensis,PVL_2566,N,210000,,,PVL_2566,,,165.5,,,,,,,,0,,,,,
Theropoda,Megalosauroidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Piatnitzkysaurus_floresi,PVL_4073,N,275000,,,PVL_4073,,,245,,,,,,,,0,,,,,
Theropoda,Megalosauroidea,,Campione_&_Evans_2020,Mazzetta_et_al._(1998),GDI,Piatnitzkysaurus_floresi,PVL_4073,N,450000,,,PVL_4073,,,245,,,,,,,Reconstruction_likely_based_on_the_holotype_(PVL_4073),0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Paul_(1997),Physical,Coelophysis_rhodesiensis,QG_1,N,11600,,,QG_1,,,56,,,,,,,,0,,,,,
