Clade.1,Clade.2,Clade.3,Sec_Ref,Primary_Ref,Method,Taxon,EBM.ref.sp,Aves,BM.g,Pneumatic,BM.Qual,Meas.sp,HumerusLen,HumerusCirc,FemurCirc,FemurLen,TibulaLen,TibiaCirc,TarsusLen,TarusCirc,Sex,Comments,Living,humerus_diameter_(mm),tarsus_diameter_(mm),coracoid_HAF_(mm),coracoid_HAF_(mm),coracoid_max_length
Neognathae,Pelecaniformes,Pelecanidae,Brinkworth_et_al_2023,"HiniFrlog_S._&_Motani_R.,_2010._J.Evol.Biol.,_23:_372385.",Physical,Pelecanus_onocrotalus,Unknown,Y,9322.3,,,,343.33,,,123.05,195.08,,136.39,,,,1,,,,,
Neognathae,Pelecaniformes,Pelecanidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Pelecanus_crispus,NHMLAC_unknown,Y,9512.1,,,,335.5,,,122.02,181,,113.23,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Aquila_chrysaetos,MCZ_1419,Y,4248,,,,181,,,122,170,,107,,,,1,,,,,
Neognathae,Ciconiiformes,Ciconiidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Leptoptilos_dubius,MCZ_337,Y,9050,,,,278,,,122,356,,282,,,,1,,,,,
Neognathae,Sphenisciformes,Spheniscidae,Brinkworth_et_al_2023,"HiniFrlog_S._&_Motani_R.,_2010._J.Evol.Biol.,_23:_372385.",Physical,Aptenodytes_forsteri,Unknown,Y,33569.3,,,,132.71,,,121.45,201.02,,45.67,,,,1,,,,,
Neognathae,Otidiformes,Otididae,Brinkworth_et_al_2023,"Field_&_Hsiang,_2018._BMC.Evol.Biol.",Physical,Ardeotis_kori,YPM_142264,Y,7994.2,,,,,,,121.06,246.2,,194.9,,,,1,,,,,
Neognathae,Galliformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Pavo_cristatus,ROM_105480,Y,6946,1,,,141.9,35.95,38.75,120.55,200,31,,,,,1,,,,,
Neognathae,Gruiformes,,Field_et_al_(2013),Field_et_al_(2013),Physical,Grus_canadensis,YPM_111250,Y,2982,,,,224,50.18,41.3,120.39,281,,250,29.26,F,,1,14.76,8.65,14.73,11.19,76.41
Neognathae,Gruiformes,,Field_et_al_(2013),Field_et_al_(2013),Physical,Grus_canadensis,YPM_102539,Y,2982,,,,223,42.5,40.23,119.69,279,,214,27.4,F,,1,15.61,8.77,11.89,13.01,81.61
Neognathae,Gruiformes,Rallidae,Chan_(2017),Chan_(2017),Physical,Porphyrio_mantelli,MNZ_S22395,Y,,,,,,,36.6,119.6,,,,,,,1,,,,,
Neognathae,Gruiformes,Rallidae,Chan_(2017),Chan_(2017),Physical,Porphyrio_mantelli,MNZ_S22139,Y,,,,,,,37.9,119.5,,,,,,,1,,,,,
Neognathae,Anseriformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Cygnus_buccinator,ROM_33734,Y,9000,0,,,,,44.15,119.2,218.5,38,,,,,1,,,,,
Neognathae,Galliformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Gallus_gallus,ROM_94357,Y,3714,0,,,106.55,30.4,36.5,119.15,175.1,34.75,,,,,1,,,,,
Neognathae,Pelecaniformes,Pelecanidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Pelecanus_erythrorhynchos,MCZ_2914,Y,5608.5,,,,317,,,119,181,,121,,,,1,,,,,
Neognathae,Galliformes,Meleagrididae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Meleagris_gallopavo,MCZ_819,Y,5791.4,,,,129,,,119,193,,141,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Grus_paradisea,NHMLAC_unknown,Y,4540.62,,,,221.5,,,118.46,295,,254.5,,,,1,,,,,
Neognathae,Falconiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Haliaeetus_leucocephalus,ROM_105446,Y,4309,1,,,,,41,118.2,154.4,33,,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Antigone_canadensis,MCZ_2483,Y,4296.22,,,,214,,,118,266,,236,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Grus_monacha,NHMLAC_unknown,Y,3729.9,,,,207,,,117.54,254.5,,213,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Watanabe_J.,_2018._Evolution,_72(12):_26322652.",Physical,Cygnus_buccinator,MNHN_189067,Y,11071.1,,,,298,,,117.4,210,,121.4,,,,1,,,,,
Neognathae,Gruiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Anthropoides_paradisaea,ROM_119906,Y,3629,0,,,205.45,36.5,30.15,116.8,267.15,29.5,,,,,1,,,,,
Neognathae,Galliformes,Phasianidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Lophophorus_lhuysii,NHMLAC_unknown,Y,3008,,,,102.65,,,116.79,156,,91.67,,,,1,,,,,
Neognathae,Pelecaniformes,Ardeidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Ardea_goliath,MCZ_202,Y,4468,,,,197,,,116,220,,167,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Harpia_harpyja,MCZ_333,Y,4800,,,,182,,,116,168,,105,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Watanabe_J.,_2018._Evolution,_72(12):_26322652.",Physical,Cygnus_buccinator,MVZ_62355,Y,11071.1,,,,,,,115.8,,,,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Watanabe_J.,_2018._Evolution,_72(12):_26322652.",Physical,Cygnus_buccinator,MVZ_137246,Y,11071.1,,,,287.5,,,115.5,214.5,,119.7,,,,1,,,,,
Neognathae,Accipitriformes,,Field_et_al_(2013),Field_et_al_(2013),Physical,Haliaeetus_leucocephalus,YPM_102011,Y,4130,,,,215,42.94,38.29,115.36,149.07,,88.12,30.63,M,,1,14.68,9.58,13.41,13.18,80.1
